key,level,English,Japanese,Chinese
,,,,
,,,,
hbs_vanish,0,Shade Shift: Disappear and evade attacks# until you use an attack.#Increases damage dealt by 30%.,雲隠れ: 攻撃をするまで#姿を消して攻撃を避ける。#与えるダメージが30%増加する。,隐身：消失，避开攻击，再次攻击时会现身。#伤害提升30%。
hbs_ghost,0,Hidden: Disappear and evade attacks until you#use an attack. Slows movement and#increases damage dealt by 60%.,雲隠れ: 攻撃をするまで姿を消して攻撃を避ける。#移動速度が落ち、与えるダメージが60%増加する。,鬼魂：消失，避开攻击，再次攻击时会现身。#移动速度减缓。伤害提升60%。
hbs_warcry,0,Technical Finish: Deal 20% more damage.,激励: 与えるダメージが20%増加する。,战吼：伤害提升20%。
hbs_flutterstep,0,Expedience: Movement speed and mobility# are increased.,高速ステップ: 移動速度と可動性が#向上する。,步生莲：移动速度加快，灵活性增强。
,,,,
,,,,
hbs_lucky,0,Lucky Carrot: Temporarily become#extremely lucky.,ウサギの幸運: 一時的にとても運がよくなる。,兔兔好运：短时好运爆棚。
hbs_stoneskin,0,Stronghold: Shields you from damage once.#Erases bullets in a radius upon wearing off.,硬化: ダメージから1回身を守る。#消滅する時、円状に弾丸を消滅させる。,石肤：可以令你免除一次伤害。
hbs_graniteskin,0,"Rampart: Shields you from damage once.#Slows movement dramatically, #increases damage by 20%,#and lasts until you are shielded.",岩化: ダメージから1回身を守る。#移動速度が極端に落ち、#与えるダメージが20%増加し#ダメージを受けるまで効果が残る。,大理石肤：可以令你免除一次伤害。#令移动速度大幅减缓，#伤害提升20%，#效果持续至“伤害免除”效果触发。
hbs_super,0,"Epic Echo: Become faster, more mobile, invincible,#and deal 30% more damage.",スーパー: 速くなり、動きやすくなり、無敵状態になり、#与えるダメージが30%増加する。,超化：变得更快，更灵活，伤害提升30%。
hbs_elegy,0,Elegy: Deal 30% more damage.,哀歌: 与えるダメージが30%増加する。,挽歌：伤害提升30%。
,,,,
,,,,
hbs_haste,0,Haste: Hastens GCD actions by 20%.,加速: GCDアクションを20%速める。,加速：全局冷却时间缩短20%。
hbs_smite,0,Damage Up: Deal 10% more damage.,聖なる力: 与えるダメージが10%増加する。,神力：伤害提升10%。
hbs_counter,0,Counter: Deal 50% more damage.#Wears off when you use an attack.,カウンター: 与えるダメージが50%増加する。#攻撃を発動する時に消滅する。,反击：伤害提升50%。#发动攻击时消失。
,,,,
hbs_blackstrike,0,Kaiten: Deal 200% more damage.#Wears off when you use an attack.,ブラックストライク: 与えるダメージが200%増加する。#攻撃を発動する時に消滅する。,黑色打击：伤害提升200%。#发动攻击时消失。
hbs_stillness,0,Divination: Deal 30% more damage.#Wears off if you move too far.,安らぎ: 与えるダメージが30%増加する。#長い距離を移動しすぎると消滅する。,宁静：伤害提升30%。#如果移动太多，就会消失。
,,,,
hbs_quickness,0,Quickness: Your GCDs all become 0.8 seconds.,速さ: GCDがすべて0.8秒になる。,迅捷：你所有全局冷却时间都变成0.8秒。
hbs_repeat,0,Repeat: Your Special's cooldown instantly#resets upon use.,リピート: スペシャルスキルのクールダウンが#発動と同時にリセットされる。,反复：你特殊技能发动之后立刻结束冷却。
,,,,
