key,level,English,Japanese,Chinese
,,,,
mv_none_0,0,???,???,???
mv_none_1,0,???,???,???
mv_none_2,0,???,???,???
mv_none_3,0,???,???,???
,,,,
,,,,
,,,,
mv_wizard_0,0,Fire IV,ディミ・ムーンバースト,狄米月爆
mv_wizard_1,0,Paradox,ラト・ムーンバースト,拉特月爆
mv_wizard_2,0,Xenoglossy,星の渦,星辰漩涡
mv_wizard_3,0,Ley Lines,星の封印,星辰封印
,,,,
mv_wizard_0_diamond,0,Diamond Fire IV,ディミ・ムーンバースト・ダイヤ,钻石狄米月爆
mv_wizard_1_diamond,0,Diamond Paradox,ラト・ムーンバースト,钻石拉特月爆
mv_wizard_2_diamond,0,Diamond Xenoglossy,星の渦・ダイヤ,钻石星辰漩涡
mv_wizard_3_diamond,0,Diamond Ley Lines,星の封印・ダイヤ,钻石星辰封印
,,,,
mv_wizard_0_opal,0,Opal Fire IV,ディミ・ムーンバースト・オパール,蛋白石狄米月爆
mv_wizard_1_opal,0,Opal Paradox,ラト・ムーンバースト・オパール,蛋白石拉特月爆
mv_wizard_2_opal,0,Opal Xenoglossy,星の渦・オパール,蛋白石星辰漩涡
mv_wizard_3_opal,0,Opal Ley Lines,星の封印・オパール,蛋白石星辰封印
,,,,
mv_wizard_0_sapphire,0,Sapphire Fire IV,ディミ・ムーンバースト・サファイア,蓝宝石狄米月爆
mv_wizard_1_sapphire,0,Sapphire Paradox,ラト・ムーンバースト・サファイア,蓝宝石拉特月爆
mv_wizard_2_sapphire,0,Sapphire Xenoglossy,星の渦・サファイア,蓝宝石星辰漩涡
mv_wizard_3_sapphire,0,Sapphire Ley Lines,星の封印・サファイア,蓝宝石星辰封印
,,,,
mv_wizard_0_ruby,0,Ruby Fire IV,ディミ・ムーンバースト・ルビー,红宝石狄米月爆
mv_wizard_1_ruby,0,Ruby Paradox,ラト・ムーンバースト・ルビー,红宝石拉特月爆
mv_wizard_2_ruby,0,Ruby Xenoglossy,星の渦・ルビー,红宝石星辰漩涡
mv_wizard_3_ruby,0,Ruby Ley Lines,星の封印・ルビー,红宝石星辰封印
,,,,
mv_wizard_0_garnet,0,Garnet Fire IV,ディミ・ムーンバースト・ガーネット,石榴石狄米月爆
mv_wizard_1_garnet,0,Garnet Paradox,ラト・ムーンバースト・ガーネット,石榴石拉特月爆
mv_wizard_2_garnet,0,Garnet Xenoglossy,星の渦・ガーネット,石榴石星辰漩涡
mv_wizard_3_garnet,0,Garnet Ley Lines,星の封印・ガーネット,石榴石星辰封印
,,,,
mv_wizard_0_emerald,0,Emerald Fire IV,ディミ・ムーンバースト・エメラルド,祖母绿狄米月爆
mv_wizard_1_emerald,0,Emerald Paradox,ラト・ムーンバースト・エメラルド,祖母绿拉特月爆
mv_wizard_2_emerald,0,Emerald Xenoglossy,星の渦・エメラルド,祖母绿星辰漩涡
mv_wizard_3_emerald,0,Emerald Ley Lines,星の封印・エメラルド,祖母绿星辰封印
,,,,
,,,,
,,,,
,,,,
mv_assassin_0,0,Spinning Edge,刹那の一刀,迅斩
mv_assassin_1,0,Throwing Dagger,ナイフジャグリング,飞刀
mv_assassin_2,0,Assassinate,暗殺,刺杀
