key,English,Japanese,Chinese
,,,
stg_outskirts,Kingdom#Outskirts,王国郊外,王国郊外
stg_nest,Scholar's#Nest,学者の隠れ家,学士窝巢
stg_arsenal,King's#Arsenal,王の武器庫,王家兵械库
stg_lighthouse,Red#Darkhouse,紅の暗灯台,绯色暗房
stg_streets,Churchmouse#Streets,教会のネズミ通り,贫民街
stg_lakeside,Emerald#Lakeside,翠玉の湖畔,祖母绿湖畔
stg_keep,The Pale#Keep,真夜中の#天守閣,午夜堡垒
stg_pinnacle,Moonlit#Pinnacle,月光の塔,明月塔顶
,,,
stg_outskirts2,Kingdom Outskirts,王国郊外,王国郊外
stg_nest2,Scholar's Nest,学者の隠れ家,学士窝巢
stg_arsenal2,King's Arsenal,王の武器庫,王家兵械库
stg_lighthouse2,Red Darkhouse,紅の暗灯台,绯色暗房
stg_streets2,Churchmouse Streets,教会のネズミ通り,贫民街
stg_lakeside2,Emerald Lakeside,翠玉の湖畔,祖母绿湖畔
stg_keep2,The Pale Keep,真夜中の#天守閣,午夜堡垒
stg_pinnacle2,Moonlit Pinnacle,月光の塔,明月塔顶
stg_random,Random Route,ランダムなルート,行动路线随机
stg_credits,Credits,スタッフロール,片尾字幕
,,,
weapontype_primary,Primary,プライマリ,主技能
weapontype_secondary,Secondary,セカンダリ,辅技能
weapontype_special,Special,スペシャル,特殊技能
weapontype_defensive,Defensive,ディフェンス,防御技能
weapontype_loot,Loot,装備品,战利品
weapontype_potion,Potion,ポーション,药水
,,,
itemtype_any,Any,すべて,任意
itemtype_none,None,なし,无
itemtype_ability,Ability,スキル,技能
itemtype_loot,Loot,装備品,战利品
itemtype_character,Rabbit,ウサギ,兔子
,,,
cd_title,CD:,CD:,冷却：
cd_seconds,sec.,秒,秒
,,,
times_0,0 times,0回,0次
times_1,once,1回,1次
times_2,twice,2回,2次
times_3,3 times,3回,3次
times_4,4 times,4回,4次
times_x,xnum times,xnum回,xnum次
,,,
seconds_1,1 second,1秒,1秒
seconds_x,xnum seconds,xnum秒,xnum秒
second_x,xnum second,xnum秒,xnum秒
,,,
talkact_dialog,Talk,話す,对话
talkact_shop,Shop,ショップ,买东西
talkact_proceed,Onward,先へ,继续前进
,,,
target_freeaim,free#aim,フリー#エイム,自主#瞄准
target_lockedon,locked#on,ロック#オン,锁定#攻击
,,,
inv_close,CLOSE,閉じる,关闭
inv_toggle_0,VIEW INVENTORY,かばん表示,查看背包
inv_toggle_1,HIDE INVENTORY,かばん非表示,隐藏背包
,,,
store_close,EXIT STORE,ショップを出る,离开
store_talk,TALK,話す,对话
store_potion,potions,ポーション,药水
store_upgrades,ability upgrades,スキルのアップグレード,技能升级
store_comingsoon,coming soon...,準備中…,敬请期待……
store_trinketbox,Trinket Box,アクセサリーボックス,装饰盒子
,,,
dialog_skip,skip,スキップ,跳过
dialog_menu_header,your response...,返事…,你的回复……
,,,
chat_entermessage,ENTER MESSAGE,メッセージを入力,输入消息
chat_close,CLOSE CHAT,チャットを閉じる,关闭聊天窗口
,,,
textbox_charlimit,character limit reached,文字数上限に到達,字符数量达到上限
textbox_hiddentype,please only use a-z and 0-9,a-zと0-9の文字が使用できます,只能使用a到z这26个字母和0-9这10个数字
,,,
npc_treasure,Treasure Box,宝箱,宝箱
npc_proceed,ONWARD,先へ,继续前进
npc_proceed_multi,READY,準備完了,就绪
npc_interact_dialog,Talk,話す,对话
npc_interact_dialog2,Listen,聞く,听
npc_interact_shop,Shop,ショップ,买东西
npc_interact_upgrade,Upgrade,アップグレード,升级
npc_interact_loot,Open,開く,打开
npc_interact_pickup,Pickup,取る,捡
npc_interact_attack,Attack,攻撃,攻击
npc_interact_map,Map & Difficulty,マップと難易度,地图和难度
npc_interact_trinket,Trinkets,アクセサリー,小装饰
npc_interact_changechar,Reselect Class,クラスを再選択,重新选择职业
npc_interact_holdinput,Hold Input...,長押し…,长按
,,,
,,,
,,,
,,,
,,,
event_loot_trap,The treasure was boobytrapped!,お宝にトラップが仕掛けられていた！,这个宝箱有诈！
event_magic_dodge,Magicks manifest into danger!,魔法は危険と隣り合わせだ！,魔法化作险关！
,,,
proceed_next_header,NEXT:,次: ,下一站：
proceed_next_loot,TREASURE,お宝,宝藏
